:ID,name,page:long,definition,feature,url,:LABEL
12,哈希表,385,,,,section
18,排序,399,排序是计算机内经常进行的一种操作，其目的是将一组无序的记录序列调整为有序的记录序列。分内部排序和外部排序，若整个排序过程不需要访问外存便能完成，则称此类排序问题为内部排序。反之，若参加排序的记录数量很大，整个序列的排序过程不可能在内存中完成，则称此类排序问题为外部排序。内部排序的过程是一个逐步扩大记录的有序序列长度的过程。,,,section
22,直接插入排序,401,直接插入排序（Straight Insertion Sort）是一种最简单的排序方法，其基本操作是将一条记录插入到已排好的有序表中，从而得到一个新的、记录数量增1的有序表。,数据越有序，排的越快。,,section
25,希尔排序,404,希尔排序是插入排序的一种又称“缩小增量排序”（Diminishing Increment Sort），是直接插入排序算法的一种更高效的改进版本。希尔排序是把记录按下标的一定增量分组，对每组使用直接插入排序算法排序；随着增量逐渐减少，每组包含的关键词越来越多，当增量减至 1 时，整个文件恰被分成一组，算法便终止。,希尔排序是非稳定排序算法。,,section
27,归并排序,416,归并排序是建立在归并操作上的一种有效，稳定的排序算法，该算法是采用分治法（Divide and Conquer）的一个非常典型的应用。将已有序的子序列合并，得到完全有序的序列；即先使每个子序列有序，再使子序列段间有序。若将两个有序表合并成一个有序表，称为二路归并。,时间复杂度稳定，空间复杂度大。,,section
29,交换排序,405,,,,section
32,选择排序,410,,,,section
35,基数排序,418,基数排序（radix sort）属于“分配式排序”（distribution sort），又称“桶子法”（bucket sort）或bin sort，顾名思义，它是透过键值的部份资讯，将要排序的元素分配至某些“桶”中，藉以达到排序的作用。,基数排序法是属于稳定性的排序，其时间复杂度为O (nlog(r)m)，其中r为所采取的基数，而m为堆数，在某些时候，基数排序法的效率高于其它的稳定性排序法。,,section
282,栈,,栈是一种特殊的线性表，是限定仅在一端（通常是表尾）进行插入和删除操作的线性表,同线性表相同，其存储结构仍为一对一的关系且在运算时只能在栈顶运算，且访问结点时依照后进先出的原则,https://www.bilibili.com/video/BV1nJ411V7bd?p=49&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,section
283,栈的应用,,,,,section
284,栈与递归,,,,https://www.bilibili.com/video/BV1nJ411V7bd?p=58&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,section
285,队列,,队列是一种先进先出的线性表，其存储结构任为一对一的结构,队列的相关操作只能在一头进行，例如只能在队首删除，队尾接入，不能随意访问某个结点,https://www.bilibili.com/video/BV1nJ411V7bd?p=50&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,section
286,队列的应用,,,,,section
301,顺序表,,线性表的顺序存储又称顺序表。它是用一组地址连续的存储单元依次存储线性表中的数据元素，从而使得逻辑上相邻的两个元素在物理位置上也相邻。,随机访问、存储密度高、物理位置相邻。,https://www.bilibili.com/video/BV1nJ411V7bd?p=13&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,section
302,单链表,,用链式存储的单向线性表统称为链表,每个逻辑节点单独存储，通过指针域来连接,https://www.bilibili.com/video/BV1nJ411V7bd?p=23&vd_source=6b2041effc0854b66a36c4c3e12ac9fa,section
303,单向链表和双向链表,,,,,section
304,线性表的应用,,,,,section
305,字符串的匹配,,,,,section
360,多维数组,,按照一定格式排列起来的具有相同类型的数据元素的集合,结构固定，定义后，维数和维界不再改变,,section
